Workplace;DispatchDepartment;Department;Prozessmodul;processing_slots
Abschlussbuchung;Endkontrolle Hilfsp;Inspektion;Inspection;1
Aetzen/Strippen;Fotochemie;Fotochemie;Via & Artwork Generation;1
AFI;Endpr�fung Visuell;Inspektion;Inspection;1
Analyselabor;Analyselabor;Analyselabor;Plating & Sputtering;1
AOI;AOI;Inspektion;Inspection;3
Aush�rtung Siebdruck;Siebdruck;Siebdruck;Via & Artwork Generation;1
Belackung;Fotochemie;Fotochemie;Via & Artwork Generation;1
Belackung Vertikal;Siebdruck;Siebdruck;Via & Artwork Generation;1
Belichtung / Komp. LDI;Fotochemie;Fotochemie;Via & Artwork Generation;3
Biegen Dumpresistor;Dumpresistor;Inspektion;Inspection;1
Bohr- und Fr�smaschine;Bohren & Fr�sen;Mechanik/Laser;Via & Artwork Generation;5
B�rstanlage;Galvanik Hilfsp;Galvanik;Plating & Sputtering;1
CO2 Laser;Laser CO2;Mechanik/Laser;Via & Artwork Generation;1
Cu-Plattieren;Gal Cu Yasmin;Galvanik;Plating & Sputtering;6
Cu-Reduzieranlage;Fotochemie Cu-Reduzieren;Fotochemie;Via & Artwork Generation;1
D�nnschicht Lift-Off;D�nnschichtlabor;D�nnschichtlabor;Plating & Sputtering;1
D�nnschicht Nasschemisch;D�nnschichtlabor;D�nnschichtlabor;Plating & Sputtering;1
D�nnschicht Sputtern;D�nnschichtlabor;D�nnschichtlabor;Plating & Sputtering;1
Endkontrolle;Endpr�fung Visuell;Inspektion;Inspection;10
Entwicklung Festresist;Fotochemie;Fotochemie;Via & Artwork Generation;1
Entwicklung Fl�ssiglack;Fotochemie;Fotochemie;Via & Artwork Generation;1
Entwicklung Siebdruck;Siebdruck;Siebdruck;Via & Artwork Generation;1
E-Test Dumpresistor;Dumpresistor;Inspektion;Inspection;1
Extern Allgemein;Extern Allgemein;Spedition;PPS / Logistik;1
Extern Hofstetter;Extern Hofstetter;Spedition;PPS / Logistik;1
Extern MicroContact;Extern MicroContact;Spedition;PPS / Logistik;1
Fingertester;XY-Messanlage;Inspektion;Inspection;1
Hilfsprozess AOI;AOI;Inspektion;Inspection;5
Hilfsprozess Galvanik;Galvanik Hilfsp;Galvanik;Plating & Sputtering;5
Hilfsprozess Lager;Lager;Lager;PPS / Logistik;5
Hilfsprozess Mechanik;Bohren & Fr�sen;Mechanik/Laser;Via & Artwork Generation;5
Hilfsprozess Nickel-Gold;Gal Nickel Gold;Galvanik;Plating & Sputtering;5
Hilfsprozess Presserei;Presserei Hilfsp;Presserei;Via & Artwork Generation;5
Hilfsprozess Presserei Reinraum;Presserei;Presserei;Via & Artwork Generation;5
Hilfsprozesse Endkontrolle;Endkontrolle Hilfsp;Inspektion;Inspection;5
IST;IST Tester;Inspektion;QM;1
IST L�ten;IST Tester;Inspektion;QM;1
Jetting;Siebdruck;Siebdruck;Via & Artwork Generation;1
Kupferdicke messen;Galvanik Hilfsp;Galvanik;Plating & Sputtering;1
Lager;Lager;Lager;PPS / Logistik;1
Laser;Laser;Mechanik/Laser;Via & Artwork Generation;7
Laser Hilfsprozess;Laser;Mechanik/Laser;Via & Artwork Generation;5
Nickel-Gold;Gal Nickel Gold;Galvanik;Plating & Sputtering;1
Plasma�tzanlage;Plasma;Plasma;Plating & Sputtering;2
Presse Flex;Presserei;Presserei;Via & Artwork Generation;1
Presse Starr;Presserei;Presserei;Via & Artwork Generation;1
Prozessfreigabe An�tzen Siebdruck;Siebdruck;Siebdruck;Via & Artwork Generation;1
Prozessfreigabe D�nnschicht;D�nnschichtlabor;D�nnschichtlabor;Plating & Sputtering;1
Reflow Endkontrolle;Endkontrolle Hilfsp;Inspektion;Inspection;1
Reliability Labor;IST Tester;Inspektion;QM;1
Schlifflabor;Schlifflabor;Inspektion;Inspection;1
Schmauch Reinigung;Fotochemie Cu-Reduzieren;Fotochemie;Via & Artwork Generation;1
Spedition PPS;Extern Allgemein;Spedition;PPS / Logistik;1
Trockenofen Endkontrolle;Endkontrolle Hilfsp;Inspektion;Inspection;1
Trockenofen Presse;Presserei Hilfsp;Presserei;Via & Artwork Generation;1
Trocknung Siebdruck;Siebdruck;Siebdruck;Via & Artwork Generation;1
Vorbehandlung Fotochemie;Fotochemie;Fotochemie;Via & Artwork Generation;1
Vorbehandlung Presse;Presserei;Presserei;Via & Artwork Generation;1
Waschanlage Endkontrolle;Endkontrolle Hilfsp;Inspektion;Inspection;1
XY-Messanlage;XY-Messanlage;Inspektion;Inspection;1
Zwischenkontrolle;Zwischenkontrolle;Inspektion;Inspection;1
